Modelos,Media,Desvio-Padrao,Maior Valor,Menor Valor
MQO tradicional,357153.0136431204,71294.34210172789,620739.8786310815,207045.9275177403
Media dos valores obs,5003934.720465833,262945.98414078174,5808965.833472222,4324229.751666667
MQO regularizado (0),357153.0136431204,71294.34210172789,620739.8786310815,207045.9275177403
MQO regularizado (0.25),357152.2478261295,71281.05194343129,620680.0340082782,207064.31262452473
MQO regularizado (0.5),357151.49929088,71267.76632650958,620620.2183216896,207082.71259111533
MQO regularizado (0.75),357150.768032923,71254.4852501002,620560.4315642322,207101.1274135062
MQO regularizado (1),357150.0540478103,71241.20871334073,620500.6737288418,207119.5570876865
